project_id,start_date,end_date,duration_days,budget,spend,team_size,risk_score,satisfaction_rating,high_satisfaction
1,2024-05-10,2024-11-11,185,159594.97,225406.09,11,2,7.02,1
2,2024-12-31,2025-02-06,37,101591.99,72197.59,27,1,10.0,1
3,2024-11-10,2025-04-10,151,114390.25,128456.43,16,5,6.68,0
4,2022-05-02,2022-11-11,193,99337.29,112406.13,15,3,7.15,1
5,2023-04-12,2023-08-09,119,92137.35,113615.77,26,1,7.98,1
6,2022-11-27,2023-05-11,165,120735.26,76252.49,26,5,9.63,1
7,2022-03-29,2022-10-30,215,47943.24,58290.59,15,5,6.76,0
8,2024-05-21,2025-05-01,345,52747.06,74322.32,29,4,6.16,0
9,2022-05-11,2022-12-04,207,175121.41,119027.06,26,4,10.0,1
10,2024-02-09,2024-04-06,57,190300.78,140355.07,17,4,9.22,1
11,2022-12-10,2023-08-16,249,87195.68,128299.3,22,1,8.17,1
12,2024-03-16,2024-05-25,70,68734.04,46806.3,6,1,10.0,1
13,2023-01-21,2023-10-05,257,135919.92,184087.91,25,3,5.47,0
14,2024-08-13,2025-03-22,221,93572.15,92849.57,19,4,8.94,1
15,2022-10-04,2023-03-27,174,24569.54,18359.12,24,5,8.38,1
16,2023-04-05,2023-11-21,230,48107.47,65943.31,22,2,6.63,0
17,2022-01-22,2022-09-20,241,148875.0,140732.32,19,3,9.04,1
18,2022-09-10,2023-05-17,249,138606.31,140660.09,23,1,8.56,1
19,2024-01-18,2024-10-13,269,24877.28,21375.39,27,3,8.86,1
20,2024-05-06,2024-07-20,75,59954.99,65527.86,28,3,8.81,1
21,2023-04-20,2023-06-23,64,61593.46,40868.73,16,3,10.0,1
22,2024-12-18,2025-09-26,282,140940.69,125589.65,17,3,9.45,1
23,2023-05-26,2023-09-14,111,23547.9,34601.57,26,2,6.32,0
24,2023-12-01,2024-09-11,285,38739.54,29369.74,15,4,8.44,1
25,2024-09-02,2025-04-16,226,163984.9,189687.35,9,5,7.07,1
26,2022-07-09,2023-06-06,332,52138.04,43023.79,5,3,9.84,1
27,2024-08-15,2024-09-23,39,137494.3,175095.3,28,3,7.58,1
28,2023-11-18,2024-10-24,341,62872.9,39664.86,7,3,10.0,1
29,2024-08-15,2025-06-26,315,37899.45,55705.41,26,4,5.17,0
30,2023-07-17,2024-04-13,271,63770.99,60824.1,23,1,10.0,1
31,2024-04-11,2025-01-16,280,150008.05,110413.49,27,1,10.0,1
32,2023-10-09,2023-11-12,34,174025.36,99802.98,11,2,10.0,1
33,2022-01-21,2022-06-18,148,169439.58,113483.5,16,1,10.0,1
34,2024-04-20,2025-03-04,318,91493.04,93302.22,19,3,8.48,1
35,2022-06-16,2022-09-18,94,140255.32,117394.15,29,3,9.85,1
36,2023-01-23,2023-07-17,175,56897.17,75609.7,9,3,6.95,0
37,2023-08-24,2024-05-03,253,72766.59,67737.51,19,2,9.77,1
38,2022-11-12,2023-08-07,268,181340.45,135772.18,12,3,9.83,1
39,2022-01-14,2022-08-08,206,22340.35,24957.41,14,1,8.86,1
40,2022-08-30,2023-06-22,296,35391.54,42709.7,20,4,7.29,1
41,2024-02-16,2024-12-23,311,57419.53,38301.23,12,4,9.97,1
42,2023-07-19,2023-10-19,92,24775.8,16540.8,5,5,9.08,1
43,2024-06-16,2025-02-17,246,52658.38,28260.25,16,1,10.0,1
44,2022-04-02,2023-03-12,344,124947.48,154485.32,9,3,7.49,1
45,2024-08-13,2025-06-21,312,95856.42,111558.14,7,4,7.22,1
46,2023-05-24,2023-12-16,206,180680.91,176097.19,5,1,9.35,1
47,2024-02-15,2024-06-21,127,167139.84,224664.43,8,4,5.86,0
48,2022-02-04,2022-06-18,134,81527.12,106447.53,12,3,7.18,1
49,2022-07-25,2022-11-30,128,66696.22,72389.03,7,4,7.85,1
50,2024-10-22,2025-09-27,340,88344.63,120879.42,14,5,5.48,0
51,2024-10-18,2024-11-22,35,126253.09,89114.63,6,5,8.68,1
52,2023-07-20,2024-03-02,226,68251.46,41764.41,15,4,9.53,1
53,2023-12-04,2024-05-14,162,132346.8,101873.9,29,1,10.0,1
54,2023-02-06,2023-11-21,288,93694.1,52195.75,14,1,10.0,1
55,2023-12-31,2024-02-21,52,119368.49,123089.15,25,1,10.0,1
56,2022-06-11,2022-09-01,82,98502.78,141509.65,18,4,5.61,0
57,2022-07-21,2023-01-31,194,73003.84,39374.15,11,1,10.0,1
58,2024-09-22,2025-05-11,231,190721.6,118649.8,6,3,10.0,1
59,2022-09-27,2023-01-17,112,157449.04,149922.82,13,5,7.7,1
60,2024-03-26,2024-09-16,174,45220.37,64840.36,20,3,6.89,0
61,2023-04-01,2023-07-24,114,176324.24,143908.1,17,1,10.0,1
62,2024-10-13,2025-01-28,107,107737.62,108517.08,13,3,8.05,1
63,2022-10-23,2022-11-22,30,181019.4,98035.19,24,1,10.0,1
64,2023-12-21,2024-03-10,80,163973.95,106311.4,8,4,9.92,1
65,2022-12-04,2023-06-24,202,96538.43,143516.94,26,3,4.98,0
66,2024-05-28,2025-01-17,234,24044.48,35228.02,14,4,6.34,0
67,2024-12-12,2025-09-27,289,68361.92,34518.67,26,4,10.0,1
68,2024-03-02,2025-01-13,317,117494.16,170579.41,16,2,7.45,1
69,2022-08-05,2022-10-07,63,134026.08,152671.78,21,1,9.0,1
70,2024-02-03,2024-06-06,124,66419.78,90856.83,18,5,5.98,0
71,2022-07-07,2022-10-16,101,45084.09,43043.58,18,1,10.0,1
72,2023-01-15,2023-03-24,68,170287.44,172943.25,29,5,7.71,1
73,2023-05-08,2023-11-07,183,197192.39,194993.02,6,1,9.89,1
74,2024-11-30,2025-09-05,279,114624.23,133750.92,25,4,7.08,1
75,2022-01-15,2022-07-25,191,50902.27,32559.7,29,3,10.0,1
76,2022-03-06,2022-07-31,147,69015.32,36576.3,24,3,10.0,1
77,2023-06-05,2024-03-19,288,23310.32,18833.11,15,2,9.79,1
78,2023-10-10,2024-09-09,335,184573.79,222352.49,20,5,7.46,1
79,2024-12-22,2025-10-15,297,41195.19,28912.99,23,5,8.59,1
80,2023-08-16,2023-11-07,83,123772.97,145239.22,27,5,6.71,0
81,2023-01-27,2023-10-19,265,69329.94,101908.91,10,4,5.71,0
82,2023-02-23,2023-11-01,251,119752.04,71120.82,28,5,9.38,1
83,2022-10-16,2023-07-23,280,137255.67,160946.29,23,3,7.89,1
84,2023-01-14,2023-12-22,342,169353.52,159827.42,9,4,8.58,1
